"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"M13"	0.0706515487053681	-6.15887067425794e-18	1.8088611023556	0.0769848376174143	0.802166265132606	-4.32416730767924
"M26"	0.0541360982830646	-8.78203759713259e-18	1.35250832559369	0.182797974301662	0.802166265132606	-4.95470297263694
"M24"	0.0237758991178774	6.47509630789954e-19	1.20443007325751	0.234559524230549	0.802166265132606	-5.12362816624168
"M1"	0.0551370497127034	1.6746406055849e-17	1.08854288887218	0.282003288737067	0.802166265132606	-5.24306308226063
"M14"	0.0156514426346336	9.39039548280501e-18	0.990571537002499	0.327056363993741	0.802166265132606	-5.33511419464804
"M2"	-0.0231778025993088	-1.17455235352596e-17	-0.975663694096313	0.334314006308132	0.802166265132606	-5.34839651979414
"M3"	0.0275256843954448	-8.89045781438114e-18	0.974310691539939	0.334977962472687	0.802166265132606	-5.3495924680494
"M23"	0.0158689686600949	-2.55841595979566e-18	0.931344788872298	0.356518340058936	0.802166265132606	-5.38674424438013
"M21"	-0.0349477554859028	5.86523258587644e-18	-0.716539448630331	0.477266221880168	0.943439142833629	-5.54817603717275
"M22"	0.0200054444104369	1.10829555409629e-18	0.599488254144728	0.551777114781943	0.943439142833629	-5.6188463607412
"M16"	0.0251198885453171	-1.76303319936948e-17	0.298508866581661	0.766653770620996	0.943439142833629	-5.74346251381969
"M18"	0.00766660509583471	-2.44848990619643e-18	0.286542857003989	0.775743898488233	0.943439142833629	-5.74670087241386
"M15"	0.0172054445923211	-2.93638088381491e-18	0.272213439333132	0.786671209345404	0.943439142833629	-5.75040519901429
"M8"	0.0195764222132072	1.89358921097295e-18	0.241294511191552	0.810394940267329	0.943439142833629	-5.75775291604403
"M5"	0.00629858086340643	-3.80073094910196e-18	0.170395536703674	0.865443351881655	0.943439142833629	-5.77126811395575
"M6"	0.0163172351773958	1.69557173085928e-18	0.152750515992058	0.879260425275546	0.943439142833629	-5.77390938039434
"M10"	-0.0117486298852611	1.86723707483615e-18	-0.137763940830654	0.89102585712065	0.943439142833629	-5.77592641320936
"M11"	0.00268412144424277	9.43255890062389e-18	0.04185664280235	0.966793412095438	0.966793412095438	-5.78390932650145
